OrderDetailsID,OrderID,ProductID,Quantity,Date,PriceApplied,CostApplied
1,Ord-01,1,3,02/08/2025 15:23:02,9000,2371.03
4,Ord-03,9,2,03/08/2025 00:00:00,8500,2371.03
5,Ord-04,4,1,05/08/2025 00:00:00,9000,1935.93
6,Ord-05,1,2,05/08/2025 00:00:00,9000,2371.03
7,Ord-06,9,4,05/08/2025 00:00:00,8500,2371.03
12,Ord-11,9,2,05/08/2025 00:00:00,8500,2371.03
13,Ord-12,9,1,05/08/2025 00:00:00,8500,2371.03
14,Ord-12,12,1,05/08/2025 00:00:00,8500,2374.80
15,Ord-13,9,2,06/08/2025 00:00:00,8500,2371.03
16,Ord-14,9,2,06/08/2025 00:00:00,8500,2371.03
17,Ord-15,9,2,06/08/2025 00:00:00,8500,2371.03
18,Ord-16,3,1,07/08/2025 00:00:00,9000,2521.44
19,Ord-16,1,1,07/08/2025 00:00:00,9000,2371.03
20,Ord-17,2,1,07/08/2025 00:00:00,9000,2374.80
21,Ord-17,1,1,07/08/2025 00:00:00,9000,2371.03
22,Ord-18,2,1,08/08/2025 00:00:00,9000,2374.80
23,Ord-18,3,1,08/08/2025 00:00:00,9000,2521.44
24,Ord-19,5,2,08/08/2025 00:00:00,5600,1512.94
25,Ord-20,6,1,08/08/2025 00:00:00,7200,1813.27
26,Ord-21,3,1,08/08/2025 00:00:00,9000,2521.44
27,Ord-21,5,1,08/08/2025 00:00:00,5600,1512.94
28,Ord-22,6,1,11/08/2025 00:00:00,7200,1813.27
29,Ord-22,5,1,11/08/2025 00:00:00,5600,1512.94
30,Ord-22,7,1,11/08/2025 00:00:00,5200,1414.88
31,Ord-23,7,2,11/08/2025 00:00:00,5200,1414.88
32,Ord-23,5,2,11/08/2025 00:00:00,5600,1512.94
33,Ord-24,1,1,13/08/2025 00:00:00,9000,2371.03
34,Ord-24,2,1,13/08/2025 00:00:00,9000,2374.80
35,Ord-25,9,2,13/08/2025 00:00:00,8500,2371.03
36,Ord-26,9,2,13/08/2025 00:00:00,8500,2371.03
37,Ord-27,9,2,13/08/2025 00:00:00,8500,2371.03
38,Ord-28,1,1,13/08/2025 00:00:00,9000,2371.03
39,Ord-29,9,2,15/08/2025 00:00:00,8500,2371.03
40,Ord-30,9,2,15/08/2025 00:00:00,8500,2371.03
41,Ord-31,9,2,15/08/2025 00:00:00,8500,2371.03
42,Ord-32,4,2,19/08/2025 00:00:00,9000,1935.93
43,Ord-33,7,1,19/08/2025 00:00:00,5200,1414.88
44,Ord-33,9,2,19/08/2025 00:00:00,8500,2371.03
45,Ord-34,9,2,19/08/2025 00:00:00,8500,2371.03
46,Ord-35,1,1,19/08/2025 00:00:00,9000,2371.03
47,Ord-35,5,1,25/08/2025 00:00:00,5600,1512.94
48,Ord-35,7,1,25/08/2025 00:00:00,5200,1414.88
49,Ord-36,8,1,25/08/2025 00:00:00,9000,2371.03
50,Ord-36,5,1,25/08/2025 00:00:00,5600,1512.94
51,Ord-37,7,1,25/08/2025 00:00:00,5200,1414.88
52,Ord-37,1,1,25/08/2025 00:00:00,9000,2371.03
53,Ord-38,8,2,26/08/2025 00:00:00,9000,2371.03
54,Ord-38,1,1,26/08/2025 00:00:00,9000,2371.03
55,Ord-39,1,1,26/08/2025 00:00:00,9000,2371.03
56,Ord-39,3,1,28/08/2025 00:00:00,9000,2521.44
57,Ord-39,2,1,28/08/2025 00:00:00,9000,2374.80
58,Ord-39,5,1,28/08/2025 00:00:00,5600,1512.94
59,Ord-40,1,1,28/08/2025 00:00:00,9000,2371.03
60,Ord-40,8,1,28/08/2025 00:00:00,9000,2371.03
61,Ord-40,5,1,30/08/2025 00:00:00,5600,1512.94
62,Ord-40,6,1,30/08/2025 00:00:00,7200,1813.27
63,Ord-41,9,2,30/08/2025 00:00:00,8500,2371.03
64,Ord-42,1,1,30/08/2025 00:00:00,9000,2371.03
65,Ord-43,1,2,30/08/2025 00:00:00,9000,2371.03
66,Ord-43,5,4,02/08/2025 15:23:02,5600,1512.94
67,Ord-43,7,2,02/08/2025 15:23:02,5200,1414.88
68,Ord-43,6,2,02/08/2025 15:23:02,7200,1813.27
69,Ord-44,9,2,02/08/2025 15:23:02,8500,2371.03
70,Ord-44,5,1,02/08/2025 15:23:02,5600,1512.94
71,Ord-45,9,2,02/08/2025 15:23:02,8500,2371.03
72,Ord-46,9,6,02/08/2025 15:23:02,8500,2371.03
73,Ord-47,8,1,02/08/2025 15:23:02,9000,2371.03
