RecordID,ProductID,StartingDate,EndDate,Cost
64,1,09/12/2025,11/07/2026,"$3,014.99"
65,2,09/12/2025,11/07/2026,"$3,052.18"
66,3,09/12/2025,11/07/2026,"$3,157.53"
67,4,09/12/2025,11/07/2026,"$2,621.64"
68,5,09/12/2025,11/07/2026,"$2,097.38"
69,6,09/12/2025,11/07/2026,"$3,014.99"
70,7,09/12/2025,11/07/2026,"$2,009.99"
71,8,09/12/2025,11/07/2026,"$2,009.99"
72,9,09/12/2025,11/07/2026,"$3,014.99"
73,10,09/12/2025,11/07/2026,"$2,621.64"
74,11,09/12/2025,11/07/2026,"$3,157.53"
75,12,09/12/2025,11/07/2026,"$3,052.18"
76,13,09/12/2025,11/07/2026,"$2,855.43"
77,14,13/03/2026,10/07/2026,"$1,274.66"
78,15,13/03/2026,10/07/2026,"$1,289.54"
79,16,13/03/2026,10/07/2026,"$1,331.68"
80,17,13/03/2026,10/07/2026,"$1,248.40"
81,18,15/05/2026,11/07/2026,"$1,403.60"
82,19,15/05/2026,11/07/2026,"$6,029.98"
83,20,15/05/2026,11/07/2026,"$6,104.35"
84,21,15/05/2026,11/07/2026,"$6,315.07"
85,22,15/05/2026,11/07/2026,"$5,243.28"
86,23,21/06/2026,10/07/2026,"$1,507.49"
